Date,Open,High,Low,Close,Adj Close,Volume
2020-03-01,7798.252441,7913.450684,7681.687012,7748.164551,7748.164551,31987458775
2020-03-02,7748.897949,8011.308105,7721.177734,7959.358398,7959.358398,38459105568
2020-03-03,7955.515625,8006.142578,7782.374512,7862.485352,7862.485352,37923648964
2020-03-04,7863.161621,7926.583008,7824.539063,7861.055176,7861.055176,31197955753
2020-03-05,7865.579590,8161.130371,7862.858398,8089.786133,8089.786133,35373626415
2020-03-06,8089.381348,8091.160645,8044.331543,8082.739746,8082.739746,36173355570
2020-03-07,8082.035645,8097.787598,8057.522461,8073.531250,8073.531250,32564197376
